Site,Genus,species,ID,individual_ID,date_collected,cutting_ID,bud_ID,bud_location,bud_location_notes,bud_BBCH,node_number_1,node_number_2,node_number_3,bud_width,bud_length,date_measure,photo_file,date_dry,stem_diameter,bud_mass,date_mass,date_fixed,scale_number,scale_note,bud_type,leaf_number,leaf_primordia_number,whorl_number,vernation_note,aestivation_note,notes_misc
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,W,1,Terminal,,0,2,1,,4.26,12.87,2015-01-30,,2015-01-30,,0.028,2015-04-03,,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,W,2,Lateral,Just below bud 1,0,2,1,,2.69,5.73,2015-01-30,,2015-01-30,,0.005,2015-04-03,,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,W,3,Lateral,"Just below bud 1, opp. bud 2",0,2,1,,2.75,5.36,2015-01-30,,2015-01-30,,0.005,2015-04-03,,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,W,4,Lateral,,0,2,1,,3.16,9.13,2015-01-30,,2015-01-30,,0.016,2015-04-03,,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,W,5,Lateral,Opp. bud 4,0,2,1,,3.13,8.15,2015-01-30,,2015-01-30,,0.013,2015-04-03,,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,W,6,Terminal_twig,,0,2,1,,3.72,8.34,2015-01-30,,2015-01-30,,0.016,2015-04-03,,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,W,7,Lateral,Just below bud 6,0,2,1,,0.76,0.61,2015-01-30,,2015-01-30,,<0.001,2015-04-03,,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,W,8,Lateral,"Just below bud 6, opp. bud 7",0,2,1,,0.7,0.79,2015-01-30,,2015-01-30,,<0.001,2015-04-03,,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,X,1,Terminal,,0,5,,,3.39,8.18,2015-01-30,,,4.94,,,2015-02-24,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,X,2,Lateral,Just below bud 1,0,5,,,1.87,2.14,2015-01-30,,,4.94,,,2015-02-24,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,X,3,Lateral,"Just below bud 1, opp. bud 2",0,5,,,1.53,2.41,2015-01-30,,,4.94,,,2015-02-24,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,X,4,Lateral,,0,5,,,2.63,6.52,2015-01-30,,,4.94,,,2015-02-24,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,X,5,Lateral,Opp. bud 4,0,5,,,2.77,6.23,2015-01-30,,,4.94,,,2015-02-24,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,X,6,Lateral,,0,5,,,2.96,6.81,2015-01-30,,,4.94,,,2015-02-24,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,X,7,Lateral,Opp. bud 6,0,5,,,2.99,6.85,2015-01-30,,,4.94,,,2015-02-24,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,X,8,Lateral,,0,5,,,2.69,6.47,2015-01-30,,,4.94,,,2015-02-24,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,X,9,Lateral,Opp. bud 8,0,5,,,2.64,6.15,2015-01-30,,,4.94,,,2015-02-24,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,X,10,Lateral,,0,5,,,2.73,6.55,2015-01-30,,,4.94,,,2015-02-24,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,X,11,Lateral,Opp. bud 10,0,5,,,2.82,6.3,2015-01-30,,,4.94,,,2015-02-24,,,,,,,,,
Harvard Forest,Acer,pensylvanicum,1,ACEPEN01_HF,22-Jan-15,X,12,Terminal_twig,,0,5,,,3.26,6.67,2015-01-30,,,4.94,,,2015-02-24,,,,,,,,,
